2025-12-24 10:50:17.025 [info] [CursorProclistService] Native module loaded successfully
2025-12-24 10:50:17.052 [info] updateURL https://api2.cursor.sh/updates/api/update/linux-x64/cursor/2.1.50/ab794c19fedb1627b03a00ad16493031d91610ffd32bf0d51dbedd5a5feab6b8/stable
2025-12-24 10:50:17.052 [info] update#setState idle
2025-12-24 10:50:20.042 [warning] [BrowserViewMainService] Cannot execute JavaScript: browser view not created for window 1
2025-12-24 10:50:20.439 [info] [CursorProclistService] Config enabled feature (subsample every 10s)
2025-12-24 10:50:47.053 [info] update#setState checking for updates
2025-12-24 10:50:47.215 [info] update#setState available for download
2025-12-24 10:55:20.453 [info] [CursorProclistService] Sample 0 created: 15 processes, 31 subsamples
2025-12-24 11:00:20.453 [info] [CursorProclistService] Sample 1 created: 9 processes, 31 subsamples
2025-12-24 11:05:20.460 [info] [CursorProclistService] Sample 2 created: 14 processes, 31 subsamples
2025-12-24 11:07:16.609 [warning] [BrowserViewMainService] Cannot flush storage data: browser view not created for window 1
2025-12-24 11:07:16.613 [warning] [BrowserViewMainService] Cannot set visibility: browser view not created for window 1
2025-12-24 11:07:16.646 [info] Extension host with pid 17461 exited with code: 0, signal: unknown.
2025-12-24 11:07:20.176 [warning] [BrowserViewMainService] Cannot execute JavaScript: browser view not created for window 1
2025-12-24 11:07:20.479 [info] [CursorProclistService] Config enabled feature (subsample every 10s)
2025-12-24 11:12:20.508 [info] [CursorProclistService] Sample 3 created: 24 processes, 31 subsamples
2025-12-24 11:17:20.510 [info] [CursorProclistService] Sample 4 created: 18 processes, 31 subsamples
2025-12-24 11:22:20.504 [info] [CursorProclistService] Sample 5 created: 15 processes, 31 subsamples
2025-12-24 11:27:20.508 [info] [CursorProclistService] Sample 6 created: 15 processes, 31 subsamples
2025-12-24 11:32:20.509 [info] [CursorProclistService] Sample 7 created: 15 processes, 31 subsamples
2025-12-24 11:37:20.513 [info] [CursorProclistService] Sample 8 created: 15 processes, 31 subsamples
2025-12-24 11:42:20.511 [info] [CursorProclistService] Sample 9 created: 15 processes, 31 subsamples
2025-12-24 11:47:20.510 [info] [CursorProclistService] Sample 10 created: 15 processes, 31 subsamples
2025-12-24 11:52:20.510 [info] [CursorProclistService] Sample 11 created: 15 processes, 31 subsamples
2025-12-24 11:57:20.504 [info] [CursorProclistService] Sample 12 created: 15 processes, 31 subsamples
2025-12-24 12:02:20.512 [info] [CursorProclistService] Sample 13 created: 16 processes, 31 subsamples
